         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 6.69314e+01 2.65304e-10 3.50646e-02 3.52358e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 6.81413e-28 6.86887e-28 
1.12202e-02 7.28369e+01 3.10886e-10 3.27732e-02 3.29437e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 7.19306e-28 7.23946e-28 
1.25893e-02 7.91737e+01 3.64872e-10 3.06126e-02 3.07824e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 7.59518e-28 7.63315e-28 
1.41254e-02 8.55924e+01 4.31480e-10 2.85769e-02 2.87460e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 7.94962e-28 8.04780e-28 
1.58489e-02 9.29299e+01 5.07224e-10 2.66629e-02 2.68315e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 8.41825e-28 8.50188e-28 
1.77828e-02 1.00740e+02 5.97534e-10 2.48565e-02 2.50245e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 8.91371e-28 8.98260e-28 
1.99526e-02 1.09020e+02 7.05561e-10 2.31529e-02 2.33203e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 9.43783e-28 9.49211e-28 
2.23872e-02 1.17763e+02 8.35214e-10 2.15475e-02 2.17144e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 9.99251e-28 1.00328e-27 
2.51189e-02 1.26952e+02 9.91380e-10 2.00352e-02 2.02016e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.05799e-27 1.06073e-27 
2.81838e-02 1.36329e+02 1.18298e-09 1.86130e-02 1.87790e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.11592e-27 1.12313e-27 
3.16228e-02 1.46475e+02 1.41041e-09 1.72728e-02 1.74383e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.18344e-27 1.18852e-27 
3.54813e-02 1.56948e+02 1.68765e-09 1.60105e-02 1.61756e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.25471e-27 1.25789e-27 
3.98107e-02 1.67697e+02 2.02685e-09 1.48229e-02 1.49876e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.33002e-27 1.33166e-27 
4.46684e-02 1.78586e+02 2.44485e-09 1.37073e-02 1.38717e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.40744e-27 1.41184e-27 
5.01187e-02 1.89822e+02 2.95578e-09 1.26577e-02 1.28218e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.49321e-27 1.49538e-27 
5.62341e-02 2.01098e+02 3.58837e-09 1.16727e-02 1.18365e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.58371e-27 1.58441e-27 
6.30957e-02 2.12356e+02 4.37351e-09 1.07489e-02 1.09124e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.67861e-27 1.68058e-27 
7.07946e-02 2.23488e+02 5.35176e-09 9.88372e-03 1.00469e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.77923e-27 1.78296e-27 
7.94328e-02 2.34565e+02 6.56821e-09 9.07392e-03 9.23682e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 1.88898e-27 1.89004e-27 
8.91251e-02 2.45304e+02 8.09327e-09 8.31793e-03 8.48059e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-18 2.00377e-27 2.00558e-27 
