         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.38382e+02 9.05401e-11 3.09445e-01 3.09704e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 1.65600e-26 1.65572e-26 
1.12202e-02 1.52803e+02 1.04674e-10 2.95909e-01 2.96164e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 1.71185e-26 1.71123e-26 
1.25893e-02 1.68953e+02 1.20517e-10 2.83423e-01 2.83674e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 1.76856e-26 1.76806e-26 
1.41254e-02 1.87138e+02 1.38093e-10 2.72075e-01 2.72322e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 1.82314e-26 1.82591e-26 
1.58489e-02 2.07012e+02 1.58834e-10 2.59946e-01 2.60190e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 1.88805e-26 1.88574e-26 
1.77828e-02 2.29116e+02 1.82352e-10 2.48423e-01 2.48662e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 1.94866e-26 1.94701e-26 
1.99526e-02 2.53656e+02 2.09173e-10 2.37235e-01 2.37471e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.01060e-26 2.00989e-26 
2.23872e-02 2.80921e+02 2.39712e-10 2.26418e-01 2.26650e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.07384e-26 2.07437e-26 
2.51189e-02 3.11230e+02 2.74424e-10 2.16001e-01 2.16230e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.13694e-26 2.14039e-26 
2.81838e-02 3.44757e+02 3.14464e-10 2.05468e-01 2.05693e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.21601e-26 2.20914e-26 
3.16228e-02 3.82267e+02 3.59176e-10 1.95929e-01 1.96152e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.27481e-26 2.27808e-26 
3.54813e-02 4.23819e+02 4.10564e-10 1.86336e-01 1.86555e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.34885e-26 2.34983e-26 
3.98107e-02 4.70051e+02 4.68868e-10 1.77151e-01 1.77367e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.42144e-26 2.42317e-26 
4.46684e-02 5.21525e+02 5.34933e-10 1.68372e-01 1.68586e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.49233e-26 2.49794e-26 
5.01187e-02 5.78531e+02 6.10940e-10 1.59501e-01 1.59712e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.58262e-26 2.57666e-26 
5.62341e-02 6.42370e+02 6.95662e-10 1.51572e-01 1.51780e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.64870e-26 2.65383e-26 
6.30957e-02 7.13000e+02 7.93453e-10 1.43386e-01 1.43591e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.74082e-26 2.73623e-26 
7.07946e-02 7.92078e+02 9.02555e-10 1.36066e-01 1.36270e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.80862e-26 2.81634e-26 
7.94328e-02 8.79556e+02 1.02850e-09 1.28481e-01 1.28682e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-16 2.90597e-26 2.90266e-26 
