         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.63457e+02 6.48999e-11 4.50970e-01 4.51274e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 3.72856e-26 3.72787e-26 
1.12202e-02 1.80446e+02 7.54968e-11 4.36062e-01 4.36361e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 3.86472e-26 3.86464e-26 
1.25893e-02 1.99153e+02 8.77511e-11 4.21335e-01 4.21630e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.00455e-26 4.00423e-26 
1.41254e-02 2.19545e+02 1.02321e-10 4.05716e-01 4.06006e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.14508e-26 4.14410e-26 
1.58489e-02 2.42535e+02 1.18452e-10 3.91648e-01 3.91934e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.27502e-26 4.28915e-26 
1.77828e-02 2.67730e+02 1.37386e-10 3.77084e-01 3.77365e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.42014e-26 4.43480e-26 
1.99526e-02 2.95473e+02 1.59465e-10 3.62258e-01 3.62534e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.59640e-26 4.58130e-26 
2.23872e-02 3.26322e+02 1.84501e-10 3.48185e-01 3.48457e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.74095e-26 4.73151e-26 
2.51189e-02 3.60466e+02 2.13250e-10 3.34359e-01 3.34626e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 4.88924e-26 4.88360e-26 
2.81838e-02 3.98274e+02 2.46211e-10 3.20825e-01 3.21088e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 5.03665e-26 5.03755e-26 
3.16228e-02 4.40100e+02 2.84123e-10 3.07424e-01 3.07682e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 5.19321e-26 5.19305e-26 
3.54813e-02 4.86594e+02 3.27157e-10 2.94621e-01 2.94876e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 5.33506e-26 5.35033e-26 
3.98107e-02 5.37989e+02 3.76750e-10 2.81842e-01 2.82092e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 5.49256e-26 5.50884e-26 
4.46684e-02 5.94954e+02 4.33487e-10 2.69357e-01 2.69604e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 5.65262e-26 5.66865e-26 
5.01187e-02 6.57915e+02 4.98954e-10 2.56848e-01 2.57090e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 5.84039e-26 5.82996e-26 
5.62341e-02 7.27891e+02 5.73261e-10 2.44936e-01 2.45175e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.01175e-26 5.99219e-26 
6.30957e-02 8.05774e+02 6.57327e-10 2.33639e-01 2.33873e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.15233e-26 6.15455e-26 
7.07946e-02 8.92043e+02 7.53720e-10 2.22466e-01 2.22697e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.31371e-26 6.31770e-26 
7.94328e-02 9.87941e+02 8.63192e-10 2.11730e-01 2.11958e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.45978e-26 6.48054e-26 
8.91251e-02 1.09424e+03 9.88456e-10 2.01178e-01 2.01402e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.62274e-26 6.64383e-26 
1.00000e-01 1.21179e+03 1.13280e-09 1.90585e-01 1.90806e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.82985e-26 6.80912e-26 
1.12202e-01 1.34302e+03 1.29494e-09 1.80784e-01 1.81002e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 6.97956e-26 6.97103e-26 
1.25893e-01 1.48847e+03 1.48054e-09 1.71131e-01 1.71346e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 7.15535e-26 7.13337e-26 
1.41254e-01 1.65094e+03 1.68869e-09 1.62236e-01 1.62448e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-15 7.26804e-26 7.28997e-26 
