         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
3.98107e-01 4.03560e+03 5.82162e-09 7.04173e-02 7.05999e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 5.90172e-26 5.90801e-26 
4.46684e-01 4.48188e+03 6.62668e-09 6.53961e-02 6.55770e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.02464e-26 6.01486e-26 
5.01187e-01 4.97894e+03 7.53347e-09 6.09653e-02 6.11448e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.09239e-26 6.10255e-26 
5.62341e-01 5.52560e+03 8.58482e-09 5.63647e-02 5.65427e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.21479e-26 6.20472e-26 
6.30957e-01 6.13291e+03 9.77239e-09 5.23776e-02 5.25543e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.27240e-26 6.28170e-26 
7.07946e-01 6.79977e+03 1.11467e-08 4.84094e-02 4.85849e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.35532e-26 6.36407e-26 
7.94328e-01 7.53125e+03 1.27342e-08 4.46435e-02 4.48178e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.43435e-26 6.44178e-26 
8.91251e-01 8.32887e+03 1.45811e-08 4.10511e-02 4.12243e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.51278e-26 6.51657e-26 
1.00000e+00 9.19124e+03 1.67500e-08 3.76217e-02 3.77938e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.59026e-26 6.58919e-26 
1.12202e+00 1.01131e+04 1.93193e-08 3.45023e-02 3.46733e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.64272e-26 6.64517e-26 
1.25893e+00 1.10706e+04 2.24585e-08 3.14050e-02 3.15751e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.71117e-26 6.71084e-26 
1.41254e+00 1.20203e+04 2.64145e-08 2.85581e-02 2.87272e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.76019e-26 6.76059e-26 
1.58489e+00 1.28547e+04 3.17622e-08 2.58115e-02 2.59797e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.80595e-26 6.80616e-26 
1.77828e+00 1.33704e+04 3.97588e-08 2.30922e-02 2.32596e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.85111e-26 6.85159e-26 
1.99526e+00 1.33939e+04 5.25142e-08 2.04140e-02 2.05805e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.89546e-26 6.89565e-26 
2.23872e+00 1.30300e+04 7.22516e-08 1.78773e-02 1.80430e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.94013e-26 6.94027e-26 
2.51189e+00 1.24108e+04 1.02245e-07 1.55524e-02 1.57173e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.98538e-26 6.98545e-26 
2.81838e+00 1.15960e+04 1.48215e-07 1.34499e-02 1.36142e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.03233e-26 7.03236e-26 
3.16228e+00 1.06451e+04 2.19162e-07 1.15706e-02 1.17343e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.08184e-26 7.08188e-26 
3.54813e+00 9.62907e+03 3.28348e-07 9.91137e-03 1.00745e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.13441e-26 7.13450e-26 
3.98107e+00 8.62055e+03 4.93692e-07 8.46533e-03 8.62800e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.19022e-26 7.19026e-26 
4.46684e+00 7.68533e+03 7.36074e-07 7.22151e-03 7.38378e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.24890e-26 7.24889e-26 
5.01187e+00 6.87125e+03 1.07478e-06 6.16458e-03 6.32650e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.30962e-26 7.30954e-26 
