         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.11877e+02 1.27877e-10 1.52675e-01 1.52884e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 4.75887e-27 4.76586e-27 
1.12202e-02 1.24072e+02 1.45698e-10 1.45694e-01 1.45901e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 4.93340e-27 4.92708e-27 
1.25893e-02 1.37733e+02 1.66065e-10 1.38280e-01 1.38484e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 5.13731e-27 5.11158e-27 
1.41254e-02 1.52984e+02 1.89032e-10 1.31284e-01 1.31486e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 5.31906e-27 5.30201e-27 
1.58489e-02 1.69717e+02 2.15508e-10 1.24584e-01 1.24784e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 5.51018e-27 5.49820e-27 
1.77828e-02 1.88684e+02 2.45016e-10 1.18077e-01 1.18275e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 5.71485e-27 5.71184e-27 
1.99526e-02 2.09818e+02 2.78416e-10 1.11907e-01 1.12103e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 5.93119e-27 5.93434e-27 
2.23872e-02 2.33336e+02 3.16280e-10 1.06046e-01 1.06240e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 6.15876e-27 6.16580e-27 
2.51189e-02 2.59525e+02 3.59205e-10 1.00446e-01 1.00638e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 6.39800e-27 6.40808e-27 
2.81838e-02 2.88721e+02 4.07789e-10 9.51060e-02 9.52964e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 6.64790e-27 6.66151e-27 
3.16228e-02 3.21249e+02 4.62815e-10 9.00168e-02 9.02056e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 6.90949e-27 6.92590e-27 
3.54813e-02 3.57406e+02 5.25548e-10 8.49783e-02 8.51655e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 7.21781e-27 7.21107e-27 
3.98107e-02 3.97694e+02 5.96525e-10 8.02475e-02 8.04332e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 7.51678e-27 7.50697e-27 
4.46684e-02 4.42573e+02 6.76925e-10 7.57559e-02 7.59402e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 7.82591e-27 7.81535e-27 
5.01187e-02 4.92701e+02 7.67174e-10 7.17855e-02 7.19685e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 8.10060e-27 8.11316e-27 
5.62341e-02 5.48321e+02 8.70502e-10 6.77040e-02 6.78856e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 8.43587e-27 8.44646e-27 
6.30957e-02 6.10183e+02 9.87839e-10 6.38061e-02 6.39865e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 8.78589e-27 8.79452e-27 
7.07946e-02 6.78803e+02 1.12211e-09 5.98594e-02 6.00386e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 9.18787e-27 9.18218e-27 
7.94328e-02 7.55188e+02 1.27377e-09 5.63411e-02 5.65192e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-17 9.56243e-27 9.55910e-27 
