         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 8.10223e+01 2.02017e-10 4.94562e-02 4.96320e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 9.83941e-28 9.86903e-28 
1.12202e-02 8.90610e+01 2.33357e-10 4.64709e-02 4.66458e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.03359e-27 1.03625e-27 
1.25893e-02 9.77737e+01 2.70053e-10 4.36285e-02 4.38024e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.08647e-27 1.08881e-27 
1.41254e-02 1.07197e+02 3.13116e-10 4.09252e-02 4.10983e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.14275e-27 1.14475e-27 
1.58489e-02 1.17203e+02 3.64483e-10 3.83492e-02 3.85214e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.19667e-27 1.20639e-27 
1.77828e-02 1.28187e+02 4.24086e-10 3.59113e-02 3.60828e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.26114e-27 1.26994e-27 
1.99526e-02 1.40001e+02 4.94440e-10 3.36003e-02 3.37711e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.32961e-27 1.33735e-27 
2.23872e-02 1.52677e+02 5.77682e-10 3.14112e-02 3.15812e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.40229e-27 1.40885e-27 
2.51189e-02 1.66240e+02 6.76430e-10 2.93389e-02 2.95083e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.47938e-27 1.48468e-27 
2.81838e-02 1.80707e+02 7.93912e-10 2.73784e-02 2.75472e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.56108e-27 1.56514e-27 
3.16228e-02 1.96084e+02 9.34130e-10 2.55243e-02 2.56924e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.64764e-27 1.65050e-27 
3.54813e-02 2.12367e+02 1.10202e-09 2.37715e-02 2.39391e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.73931e-27 1.74111e-27 
3.98107e-02 2.29531e+02 1.30379e-09 2.21148e-02 2.22818e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.83637e-27 1.83732e-27 
4.46684e-02 2.47474e+02 1.54776e-09 2.05478e-02 2.07144e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 1.93641e-27 1.94180e-27 
5.01187e-02 2.66282e+02 1.84243e-09 1.90681e-02 1.92342e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.04645e-27 2.04969e-27 
5.62341e-02 2.85718e+02 2.20161e-09 1.76712e-02 1.78368e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.16251e-27 2.16407e-27 
6.30957e-02 3.05669e+02 2.64131e-09 1.63528e-02 1.65180e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.28502e-27 2.28551e-27 
7.07946e-02 3.25984e+02 3.18222e-09 1.51084e-02 1.52733e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.41311e-27 2.41602e-27 
7.94328e-02 3.46494e+02 3.85077e-09 1.39361e-02 1.41006e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.55095e-27 2.55188e-27 
8.91251e-02 3.66941e+02 4.68219e-09 1.28320e-02 1.29961e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.69461e-27 2.69797e-27 
1.00000e-01 3.87152e+02 5.72020e-09 1.17938e-02 1.19576e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 2.84922e-27 2.85004e-27 
1.12202e-01 4.06825e+02 7.02387e-09 1.08188e-02 1.09823e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 3.01076e-27 3.01313e-27 
1.25893e-01 4.25737e+02 8.66802e-09 9.90499e-03 1.00682e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 3.18343e-27 3.18367e-27 
1.41254e-01 4.43654e+02 1.07500e-08 9.04995e-03 9.21285e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 3.36489e-27 3.36556e-27 
1.58489e-01 4.60360e+02 1.33958e-08 8.25195e-03 8.41459e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 3.55682e-27 3.55792e-27 
1.77828e-01 4.75690e+02 1.67664e-08 7.50908e-03 7.67148e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 3.75989e-27 3.76117e-27 
1.99526e-01 4.89534e+02 2.10672e-08 6.81948e-03 6.98166e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 3.97471e-27 3.97581e-27 
2.23872e-01 5.01845e+02 2.65566e-08 6.18125e-03 6.34323e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 4.20179e-27 4.20242e-27 
2.51189e-01 5.12651e+02 3.35559e-08 5.59244e-03 5.75423e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 4.44154e-27 4.44166e-27 
2.81838e-01 5.22072e+02 4.24566e-08 5.05093e-03 5.21254e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 4.69368e-27 4.69508e-27 
3.16228e-01 5.30245e+02 5.37338e-08 4.55459e-03 4.71604e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 4.96051e-27 4.96051e-27 
3.54813e-01 5.37422e+02 6.79404e-08 4.10099e-03 4.26230e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 5.24066e-27 5.24070e-27 
3.98107e-01 5.43854e+02 8.57178e-08 3.68761e-03 3.84879e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 5.53466e-27 5.53552e-27 
4.46684e-01 5.49718e+02 1.07808e-07 3.31196e-03 3.47302e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 5.84417e-27 5.84274e-27 
5.01187e-01 5.55412e+02 1.34987e-07 2.97101e-03 3.13196e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 6.16687e-27 6.16712e-27 
5.62341e-01 5.61010e+02 1.68162e-07 2.66234e-03 2.82319e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 6.50470e-27 6.50498e-27 
6.30957e-01 5.66784e+02 2.08249e-07 2.38325e-03 2.54401e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 6.85719e-27 6.85739e-27 
7.07946e-01 5.72989e+02 2.56181e-07 2.13130e-03 2.29197e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 7.22415e-27 7.22441e-27 
7.94328e-01 5.79874e+02 3.12893e-07 1.90417e-03 2.06478e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 7.60572e-27 7.60536e-27 
8.91251e-01 5.87722e+02 3.79280e-07 1.69962e-03 1.86016e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-18 8.00089e-27 8.00123e-27 
