         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.28218e+02 1.03268e-10 2.48876e-01 2.49116e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.09270e-26 1.09188e-26 
1.12202e-02 1.41943e+02 1.18459e-10 2.37796e-01 2.38032e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.12834e-26 1.12838e-26 
1.25893e-02 1.57179e+02 1.35772e-10 2.27067e-01 2.27300e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.16111e-26 1.16612e-26 
1.41254e-02 1.73664e+02 1.55760e-10 2.17384e-01 2.17613e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.20289e-26 1.20314e-26 
1.58489e-02 1.92895e+02 1.78118e-10 2.06292e-01 2.06518e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.24802e-26 1.24558e-26 
1.77828e-02 2.13865e+02 2.03501e-10 1.96789e-01 1.97012e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.28544e-26 1.28686e-26 
1.99526e-02 2.37106e+02 2.32642e-10 1.87268e-01 1.87488e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.33035e-26 1.33012e-26 
2.23872e-02 2.63022e+02 2.65574e-10 1.78252e-01 1.78469e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.37423e-26 1.37459e-26 
2.51189e-02 2.91709e+02 3.03405e-10 1.69251e-01 1.69465e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.42424e-26 1.42138e-26 
2.81838e-02 3.23841e+02 3.45638e-10 1.61126e-01 1.61337e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.46532e-26 1.46824e-26 
3.16228e-02 3.59493e+02 3.94002e-10 1.52999e-01 1.53208e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.51501e-26 1.51768e-26 
3.54813e-02 3.99080e+02 4.49302e-10 1.44938e-01 1.45145e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.57251e-26 1.56988e-26 
3.98107e-02 4.43222e+02 5.11744e-10 1.37380e-01 1.37584e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.62793e-26 1.62326e-26 
4.46684e-02 4.92556e+02 5.81848e-10 1.30418e-01 1.30620e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.67600e-26 1.67673e-26 
5.01187e-02 5.47258e+02 6.62325e-10 1.23341e-01 1.23540e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.73739e-26 1.73430e-26 
5.62341e-02 6.08362e+02 7.52787e-10 1.16828e-01 1.17025e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.79232e-26 1.79192e-26 
6.30957e-02 6.76520e+02 8.54904e-10 1.10693e-01 1.10889e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-16 1.84556e-26 1.85026e-26 
