         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 5.16941e+01 3.82518e-10 2.41239e-02 2.42916e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 4.73591e-28 4.82194e-28 
1.12202e-02 5.59132e+01 4.51918e-10 2.24831e-02 2.26503e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 5.03618e-28 5.10906e-28 
1.25893e-02 6.03601e+01 5.35285e-10 2.09293e-02 2.10960e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 5.35261e-28 5.41234e-28 
1.41254e-02 6.50265e+01 6.35768e-10 1.94617e-02 1.96279e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 5.68641e-28 5.73323e-28 
1.58489e-02 6.94277e+01 7.64417e-10 1.80507e-02 1.82165e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 5.98289e-28 6.06565e-28 
1.77828e-02 7.46400e+01 9.10214e-10 1.67685e-02 1.69339e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 6.36973e-28 6.43508e-28 
1.99526e-02 8.00251e+01 1.08769e-09 1.55560e-02 1.57209e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 6.77732e-28 6.82574e-28 
2.23872e-02 8.55569e+01 1.30449e-09 1.44130e-02 1.45777e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 7.20706e-28 7.23975e-28 
2.51189e-02 9.09288e+01 1.57677e-09 1.33353e-02 1.34995e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 7.62634e-28 7.68466e-28 
2.81838e-02 9.68426e+01 1.89972e-09 1.23329e-02 1.24968e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 8.12016e-28 8.15813e-28 
3.16228e-02 1.02797e+02 2.29824e-09 1.13908e-02 1.15544e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 8.64010e-28 8.66078e-28 
3.54813e-02 1.08655e+02 2.79486e-09 1.05089e-02 1.06722e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 9.16979e-28 9.20634e-28 
3.98107e-02 1.14765e+02 3.40004e-09 9.68460e-03 9.84769e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 9.76286e-28 9.77977e-28 
4.46684e-02 1.20756e+02 4.15424e-09 8.91504e-03 9.07789e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.03747e-27 1.04021e-27 
5.01187e-02 1.26857e+02 5.08220e-09 8.19695e-03 8.35957e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.10477e-27 1.10565e-27 
5.62341e-02 1.32863e+02 6.23589e-09 7.52852e-03 7.69093e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.17526e-27 1.17655e-27 
6.30957e-02 1.38825e+02 7.66590e-09 6.90693e-03 7.06914e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.25067e-27 1.25225e-27 
7.07946e-02 1.44737e+02 9.43757e-09 6.32979e-03 6.49182e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.33140e-27 1.33304e-27 
7.94328e-02 1.50595e+02 1.16302e-08 5.79485e-03 5.95671e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.41780e-27 1.41921e-27 
8.91251e-02 1.56400e+02 1.43400e-08 5.29988e-03 5.46157e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.51019e-27 1.51109e-27 
1.00000e-01 1.62155e+02 1.76818e-08 4.84272e-03 5.00426e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.60879e-27 1.60907e-27 
1.12202e-01 1.67887e+02 2.17896e-08 4.42115e-03 4.58257e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.71356e-27 1.71405e-27 
1.25893e-01 1.73640e+02 2.68172e-08 4.03291e-03 4.19420e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.82526e-27 1.82611e-27 
1.41254e-01 1.79400e+02 3.29537e-08 3.67608e-03 3.83726e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 1.94472e-27 1.94440e-27 
1.58489e-01 1.85244e+02 4.03983e-08 3.34829e-03 3.50937e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 2.07125e-27 2.07116e-27 
1.77828e-01 1.91193e+02 4.93873e-08 3.04752e-03 3.20850e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 2.20631e-27 2.20530e-27 
1.99526e-01 1.97286e+02 6.01820e-08 2.77179e-03 2.93268e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 2.34910e-27 2.34850e-27 
2.23872e-01 2.03570e+02 7.30677e-08 2.51920e-03 2.68001e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 2.50053e-27 2.50054e-27 
2.51189e-01 2.10088e+02 8.83582e-08 2.28803e-03 2.44876e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 2.66123e-27 2.66129e-27 
2.81838e-01 2.16897e+02 1.06387e-07 2.07660e-03 2.23727e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 2.83142e-27 2.83117e-27 
3.16228e-01 2.24072e+02 1.27502e-07 1.88333e-03 2.04394e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 3.01100e-27 3.01109e-27 
3.54813e-01 2.31661e+02 1.52086e-07 1.70678e-03 1.86732e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 3.20072e-27 3.20063e-27 
3.98107e-01 2.39738e+02 1.80532e-07 1.54551e-03 1.70600e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 3.40052e-27 3.40062e-27 
4.46684e-01 2.48354e+02 2.13270e-07 1.39826e-03 1.55870e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 3.61089e-27 3.61100e-27 
5.01187e-01 2.57572e+02 2.50751e-07 1.26383e-03 1.42423e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 3.83207e-27 3.83212e-27 
5.62341e-01 2.67457e+02 2.93459e-07 1.14111e-03 1.30147e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 4.06438e-27 4.06428e-27 
6.30957e-01 2.78078e+02 3.41910e-07 1.02911e-03 1.18944e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 4.30812e-27 4.30784e-27 
7.07946e-01 2.89516e+02 3.96663e-07 9.26905e-04 1.08720e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 4.56337e-27 4.56347e-27 
7.94328e-01 3.01836e+02 4.58332e-07 8.33680e-04 9.93944e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 4.83097e-27 4.83107e-27 
8.91251e-01 3.15132e+02 5.27582e-07 7.48672e-04 9.08909e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-18 5.11124e-27 5.11133e-27 
