         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.19462e+02 1.15598e-10 1.96937e-01 1.97160e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 7.20391e-27 7.19105e-27 
1.12202e-02 1.32447e+02 1.32095e-10 1.87657e-01 1.87877e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 7.44106e-27 7.43891e-27 
1.25893e-02 1.46832e+02 1.51025e-10 1.78422e-01 1.78639e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 7.71982e-27 7.70034e-27 
1.41254e-02 1.62929e+02 1.72203e-10 1.70027e-01 1.70242e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 7.94952e-27 7.96543e-27 
1.58489e-02 1.80790e+02 1.96453e-10 1.61655e-01 1.61866e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 8.23002e-27 8.24599e-27 
1.77828e-02 2.00672e+02 2.23979e-10 1.53607e-01 1.53817e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 8.52236e-27 8.53841e-27 
1.99526e-02 2.23174e+02 2.53977e-10 1.46802e-01 1.47009e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 8.75643e-27 8.80836e-27 
2.23872e-02 2.47560e+02 2.90337e-10 1.38659e-01 1.38864e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 9.14992e-27 9.15547e-27 
2.51189e-02 2.74827e+02 3.31131e-10 1.31096e-01 1.31298e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 9.51754e-27 9.50066e-27 
2.81838e-02 3.05409e+02 3.76647e-10 1.24322e-01 1.24521e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 9.85565e-27 9.84547e-27 
3.16228e-02 3.39498e+02 4.28199e-10 1.17829e-01 1.18027e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.02141e-26 1.02051e-26 
3.54813e-02 3.77599e+02 4.86079e-10 1.11877e-01 1.12073e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.05309e-26 1.05657e-26 
3.98107e-02 4.19682e+02 5.53224e-10 1.05497e-01 1.05691e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.10115e-26 1.09792e-26 
4.46684e-02 4.66413e+02 6.28783e-10 9.99398e-02 1.00132e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.13707e-26 1.13709e-26 
5.01187e-02 5.19381e+02 7.13057e-10 9.44137e-02 9.46039e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.18132e-26 1.18036e-26 
5.62341e-02 5.77908e+02 8.09284e-10 8.92204e-02 8.94090e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.22474e-26 1.22410e-26 
6.30957e-02 6.43096e+02 9.18335e-10 8.42582e-02 8.44452e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.26956e-26 1.26946e-26 
7.07946e-02 7.15775e+02 1.04154e-09 7.96111e-02 7.97966e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.31416e-26 1.31546e-26 
7.94328e-02 7.96621e+02 1.18161e-09 7.50826e-02 7.52666e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.36210e-26 1.36385e-26 
8.91251e-02 8.86580e+02 1.34060e-09 7.07402e-02 7.09228e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.41211e-26 1.41402e-26 
1.00000e-01 9.86634e+02 1.52115e-09 6.65824e-02 6.67637e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.46405e-26 1.46590e-26 
1.12202e-01 1.09757e+03 1.72802e-09 6.23423e-02 6.25223e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.52540e-26 1.52378e-26 
1.25893e-01 1.22137e+03 1.95980e-09 5.87946e-02 5.89734e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.57324e-26 1.57471e-26 
1.41254e-01 1.35843e+03 2.22568e-09 5.51577e-02 5.53354e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.63032e-26 1.63140e-26 
1.58489e-01 1.51014e+03 2.53027e-09 5.15387e-02 5.17152e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.69322e-26 1.69279e-26 
1.77828e-01 1.67823e+03 2.87676e-09 4.82624e-02 4.84379e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.75163e-26 1.75150e-26 
1.99526e-01 1.86376e+03 3.27399e-09 4.51346e-02 4.53090e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.81113e-26 1.81119e-26 
2.23872e-01 2.06792e+03 3.73106e-09 4.21476e-02 4.23211e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.87158e-26 1.87173e-26 
2.51189e-01 2.29164e+03 4.25958e-09 3.92937e-02 3.94663e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.93284e-26 1.93299e-26 
2.81838e-01 2.53535e+03 4.87482e-09 3.65643e-02 3.67360e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 1.99480e-26 1.99485e-26 
3.16228e-01 2.79856e+03 5.59770e-09 3.39503e-02 3.41212e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.05736e-26 2.05723e-26 
3.54813e-01 3.07909e+03 6.45833e-09 3.14414e-02 3.16114e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.12042e-26 2.12010e-26 
3.98107e-01 3.37218e+03 7.50200e-09 2.89954e-02 2.91647e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.18476e-26 2.18550e-26 
4.46684e-01 3.66686e+03 8.80433e-09 2.66737e-02 2.68422e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.24819e-26 2.24876e-26 
5.01187e-01 3.94530e+03 1.04920e-08 2.44254e-02 2.45932e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.31130e-26 2.31180e-26 
5.62341e-01 4.18585e+03 1.27585e-08 2.22149e-02 2.23820e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.37665e-26 2.37685e-26 
6.30957e-01 4.37077e+03 1.58723e-08 2.00770e-02 2.02434e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.44230e-26 2.44274e-26 
7.07946e-01 4.49998e+03 2.01429e-08 1.80372e-02 1.82030e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.50983e-26 2.50989e-26 
7.94328e-01 4.57747e+03 2.59923e-08 1.61250e-02 1.62901e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.57835e-26 2.57837e-26 
8.91251e-01 4.60434e+03 3.40512e-08 1.43489e-02 1.45135e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.64843e-26 2.64845e-26 
1.00000e+00 4.57980e+03 4.52656e-08 1.27116e-02 1.28757e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.72021e-26 2.72046e-26 
1.12202e+00 4.50523e+03 6.10098e-08 1.12122e-02 1.13758e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.79449e-26 2.79448e-26 
1.25893e+00 4.38499e+03 8.32512e-08 9.84932e-03 1.00125e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.87109e-26 2.87111e-26 
1.41254e+00 4.22650e+03 1.14745e-07 8.62018e-03 8.78293e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 2.95036e-26 2.95034e-26 
1.58489e+00 4.03999e+03 1.59215e-07 7.52033e-03 7.68272e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.03237e-26 3.03234e-26 
1.77828e+00 3.83704e+03 2.21469e-07 6.54395e-03 6.70603e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.11706e-26 3.11702e-26 
1.99526e+00 3.62950e+03 3.07332e-07 5.68379e-03 5.84560e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.20417e-26 3.20413e-26 
2.23872e+00 3.42819e+03 4.23290e-07 4.93127e-03 5.09283e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.29327e-26 3.29328e-26 
2.51189e+00 3.24131e+03 5.75957e-07 4.27653e-03 4.43788e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.38382e-26 3.38396e-26 
2.81838e+00 3.07302e+03 7.71671e-07 3.70886e-03 3.87003e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.47546e-26 3.47553e-26 
3.16228e+00 2.92455e+03 1.01599e-06 3.21730e-03 3.37831e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.56782e-26 3.56774e-26 
3.54813e+00 2.79665e+03 1.31278e-06 2.79201e-03 2.95288e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.66048e-26 3.66042e-26 
3.98107e+00 2.69038e+03 1.66351e-06 2.42444e-03 2.58518e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.75302e-26 3.75317e-26 
4.46684e+00 2.60559e+03 2.06813e-06 2.10696e-03 2.26761e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.84529e-26 3.84523e-26 
5.01187e+00 2.54143e+03 2.52579e-06 1.83237e-03 1.99292e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 3.93695e-26 3.93690e-26 
5.62341e+00 2.49638e+03 3.03586e-06 1.59453e-03 1.75501e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.02801e-26 4.02806e-26 
6.30957e+00 2.46891e+03 3.59840e-06 1.38823e-03 1.54863e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.11865e-26 4.11868e-26 
7.07946e+00 2.45773e+03 4.21447e-06 1.20895e-03 1.36929e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.20902e-26 4.20906e-26 
7.94328e+00 2.46173e+03 4.88641e-06 1.05290e-03 1.21319e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.29945e-26 4.29948e-26 
8.91251e+00 2.48001e+03 5.61787e-06 9.16871e-04 1.07711e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.39032e-26 4.39034e-26 
1.00000e+01 2.51192e+03 6.41384e-06 7.98135e-04 9.58325e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.48213e-26 4.48211e-26 
1.12202e+01 2.55706e+03 7.28052e-06 6.94378e-04 8.54528e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.57539e-26 4.57540e-26 
1.25893e+01 2.61518e+03 8.22534e-06 6.03648e-04 7.63761e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.67078e-26 4.67075e-26 
1.41254e+01 2.68630e+03 9.25692e-06 5.24251e-04 6.84330e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.76893e-26 4.76894e-26 
1.58489e+01 2.77059e+03 1.03851e-05 4.54757e-04 6.14804e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.87064e-26 4.87066e-26 
1.77828e+01 2.86844e+03 1.16210e-05 3.93927e-04 5.53942e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 4.97673e-26 4.97672e-26 
1.99526e+01 2.98041e+03 1.29770e-05 3.40687e-04 5.00673e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 5.08804e-26 5.08803e-26 
2.23872e+01 3.10725e+03 1.44672e-05 2.94115e-04 4.54071e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 5.20548e-26 5.20547e-26 
2.51189e+01 3.24988e+03 1.61070e-05 2.53407e-04 4.13333e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 5.33000e-26 5.32998e-26 
2.81838e+01 3.40941e+03 1.79140e-05 2.17864e-04 3.77759e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-16 5.46252e-26 5.46253e-26 
