         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.04907e+02 1.40043e-10 1.18202e-01 1.18399e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.16235e-27 3.15717e-27 
1.12202e-02 1.16543e+02 1.59372e-10 1.12020e-01 1.12216e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.29030e-27 3.28254e-27 
1.25893e-02 1.29498e+02 1.81294e-10 1.06124e-01 1.06318e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.42486e-27 3.41461e-27 
1.41254e-02 1.43977e+02 2.05953e-10 1.00689e-01 1.00881e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.54522e-27 3.55056e-27 
1.58489e-02 1.60052e+02 2.34084e-10 9.53580e-02 9.55485e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.68978e-27 3.69589e-27 
1.77828e-02 1.78081e+02 2.65613e-10 9.02932e-02 9.04821e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.78291e-27 3.84575e-27 
1.99526e-02 1.96243e+02 3.04943e-10 8.63883e-02 8.65759e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 3.95105e-27 3.95613e-27 
2.23872e-02 2.19980e+02 3.43671e-10 8.04554e-02 8.06411e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 4.20256e-27 4.19165e-27 
2.51189e-02 2.44683e+02 3.90249e-10 7.60442e-02 7.62286e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 4.37929e-27 4.37200e-27 
2.81838e-02 2.72173e+02 4.43102e-10 7.18467e-02 7.20297e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 4.56671e-27 4.56175e-27 
3.16228e-02 3.02752e+02 5.03111e-10 6.78474e-02 6.80291e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 4.76474e-27 4.76139e-27 
3.54813e-02 3.36749e+02 5.71290e-10 6.40356e-02 6.42161e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 4.97352e-27 4.97132e-27 
3.98107e-02 3.74523e+02 6.48819e-10 6.04029e-02 6.05822e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 5.19326e-27 5.19193e-27 
4.46684e-02 4.16456e+02 7.37075e-10 5.69409e-02 5.71191e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 5.42420e-27 5.42357e-27 
5.01187e-02 4.62955e+02 8.37682e-10 5.36416e-02 5.38188e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 5.66659e-27 5.66652e-27 
5.62341e-02 5.14446e+02 9.52569e-10 5.04969e-02 5.06731e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 5.92065e-27 5.92106e-27 
6.30957e-02 5.71362e+02 1.08405e-09 4.74987e-02 4.76739e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 6.18659e-27 6.18741e-27 
7.07946e-02 6.34082e+02 1.23488e-09 4.47135e-02 4.48879e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 6.45006e-27 6.45715e-27 
7.94328e-02 7.03078e+02 1.40877e-09 4.19702e-02 4.21436e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 3.55656e-17 6.74258e-27 6.74826e-27 
