         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 9.82598e+01 1.53674e-10 8.98518e-02 9.00406e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.12012e-27 2.11862e-27 
1.12202e-02 1.08382e+02 1.76845e-10 8.43589e-02 8.45459e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.22220e-27 2.21453e-27 
1.25893e-02 1.20509e+02 2.00894e-10 7.98346e-02 8.00201e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.30987e-27 2.31117e-27 
1.41254e-02 1.34736e+02 2.26036e-10 7.61769e-02 7.63613e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.36201e-27 2.40048e-27 
1.58489e-02 1.49670e+02 2.57417e-10 7.17310e-02 7.19139e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.51760e-27 2.51758e-27 
1.77828e-02 1.66283e+02 2.92788e-10 6.77734e-02 6.79551e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.62992e-27 2.63099e-27 
1.99526e-02 1.84716e+02 3.33085e-10 6.40035e-02 6.41840e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.74909e-27 2.75084e-27 
2.23872e-02 2.05151e+02 3.79044e-10 6.04105e-02 6.05899e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 2.87544e-27 2.87756e-27 
2.51189e-02 2.27783e+02 4.31526e-10 5.69855e-02 5.71637e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.00929e-27 3.01155e-27 
2.81838e-02 2.52816e+02 4.91554e-10 5.37204e-02 5.38976e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.15096e-27 3.15319e-27 
3.16228e-02 2.80461e+02 5.60348e-10 5.06075e-02 5.07837e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.30073e-27 3.30281e-27 
3.54813e-02 3.10925e+02 6.39383e-10 4.76394e-02 4.78147e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.45890e-27 3.46078e-27 
3.98107e-02 3.44411e+02 7.30463e-10 4.48085e-02 4.49828e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.62576e-27 3.62740e-27 
4.46684e-02 3.81095e+02 8.35824e-10 4.21072e-02 4.22807e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.80160e-27 3.80299e-27 
5.01187e-02 4.21115e+02 9.58273e-10 3.95279e-02 3.97005e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 3.98671e-27 3.98787e-27 
5.62341e-02 4.64544e+02 1.10139e-09 3.70629e-02 3.72348e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 4.18137e-27 4.18232e-27 
6.30957e-02 5.11365e+02 1.26978e-09 3.47049e-02 3.48760e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 4.38586e-27 4.38663e-27 
7.07946e-02 5.61445e+02 1.46944e-09 3.24468e-02 3.26171e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 2.00000e-17 4.60047e-27 4.60109e-27 
